scan_pdf_page	candidate_physical_line	center_y_at_120dpi	printed_counterpart_id	printed_reading	image_peak	status
102	29	3126	seytek-2012:p0975:b003:l013	Бозала тулпар чолпонум	32	visual_sequence_alignment_aid_only
102	30	3209	seytek-2012:p0975:b003:l014	Өөдө тартса өбөгүм,	33	visual_sequence_alignment_aid_only
102	31	3304	seytek-2012:p0975:b003:l015	Ылдый тартса жөлөгүм,	34	visual_sequence_alignment_aid_only
102	32	3400	seytek-2012:p0975:b003:l016	Капа болсом кабагым,	35	visual_sequence_alignment_aid_only
102	33	3496	seytek-2012:p0975:b003:l017	Ачка болсом тамагым,	36	visual_sequence_alignment_aid_only
102	34	3601	seytek-2012:p0975:b003:l018	Мурунтан келген мураа» – деп,	37	visual_sequence_alignment_aid_only
102	35	3692	seytek-2012:p0975:b003:l019	Белекке берген найзанын	38	visual_sequence_alignment_aid_only
102	36	3797	seytek-2012:p0975:b003:l020	Болоттугун билди кыз.	39	visual_sequence_alignment_aid_only
102	37	3900	seytek-2012:p0975:b003:l021	Эр Сейтекке жалынып,	40	visual_sequence_alignment_aid_only
102	38	4013	seytek-2012:p0975:b003:l022	Кыткылыктап күлдү кыз,	41	visual_sequence_alignment_aid_only
102	39	4099	seytek-2012:p0975:b003:l023	Ыраазы болуп турду кыз.	42	visual_sequence_alignment_aid_only
102	40	4216	seytek-2012:p0975:b003:l024	Алып жоого сунганда,	43	visual_sequence_alignment_aid_only
102	41	4356	seytek-2012:p0975:b003:l025	Кереге найза тийгенде,	44	visual_sequence_alignment_aid_only
102	42	4420	seytek-2012:p0975:b003:l026	Өбөктөп кетсе куу жанга	45	visual_sequence_alignment_aid_only
102	43	4524	seytek-2012:p0975:b003:l027	Жөлөк найза тийген соң,	46	visual_sequence_alignment_aid_only
102	44	4673	seytek-2012:p0975:b003:l028	Каарлангандай камынып,	48	visual_sequence_alignment_aid_only
102	45	4726	seytek-2012:p0975:b003:l029	Каражолтой Куялы,	49	visual_sequence_alignment_aid_only
102	46	4777	seytek-2012:p0975:b003:l030	Капыстан ажал табылып,	50	visual_sequence_alignment_aid_only
102	47	4863	seytek-2012:p0975:b003:l031	Тилегени бүт келип,	51	visual_sequence_alignment_aid_only
102	48	4998	seytek-2012:p0975:b003:l032	Арстан кыздын өзүнө	53	visual_sequence_alignment_aid_only
102	49	5080	seytek-2012:p0975:b003:l033	Алтымыш эрдик күч келип,	54	visual_sequence_alignment_aid_only
102	50	5180	seytek-2012:p0975:b003:l034	Ободогу ай чолпон,	55	visual_sequence_alignment_aid_only
102	51	5281	seytek-2012:p0975:b003:l035	О, кудурет эр сайгыч,	57	visual_sequence_alignment_aid_only
102	52	5358	seytek-2012:p0975:b003:l036	Болжош болуп калды эми.	58	visual_sequence_alignment_aid_only
102	53	5424	seytek-2012:p0975:b003:l037	О дүйнө кеткен эр атам	59	visual_sequence_alignment_aid_only
102	54	5529	seytek-2012:p0975:b003:l038	Ошол кезде балбанга	60	visual_sequence_alignment_aid_only
102	55	5660	seytek-2012:p0975:b003:l039	Жолдош болуп калды эми,	61	visual_sequence_alignment_aid_only
102	56	5753	seytek-2012:p0975:b003:l040	Сарыбай кезек аларда,	63	visual_sequence_alignment_aid_only
102	57	5884	seytek-2012:p0976:b002:l001	Канкор шердин арбагын	64	visual_sequence_alignment_aid_only
102	58	5980	seytek-2012:p0976:b002:l002	Жылоолоп курчап арстанга	65	visual_sequence_alignment_aid_only
102	59	6099	seytek-2012:p0976:b002:l003	Жолдош болуп калды эми.	67	visual_sequence_alignment_aid_only
102	60	6221	seytek-2012:p0976:b002:l004	Кырк чилтен кызыр Куялы,	68	visual_sequence_alignment_aid_only
102	61	6318	seytek-2012:p0976:b002:l005	Короолоп курчап калды эле…	69	visual_sequence_alignment_aid_only
