manuscript_position	printed_source_id	printed_text	status
sayakbay-ms-current142:pdf028:l020	seytek-2012:p0928:b003:l018	Ит да сенден көп жакшы,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l021	seytek-2012:p0928:b003:l019	Иттигиңди койбодуң.	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l022	seytek-2012:p0928:b003:l020	Чаркың жетти далайга,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l023	seytek-2012:p0928:b003:l021	Кылмышсыз өлдү далай жан,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l024	seytek-2012:p0928:b003:l022	Бу да адам, сен да адам,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l025	seytek-2012:p0928:b003:l023	Бул кылганың бек жаман.	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l026	seytek-2012:p0928:b003:l024	Жайында жаткан момун эл,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l027	seytek-2012:p0928:b003:l025	Жаккан отун өчүрдүң,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l028	seytek-2012:p0928:b003:l026	Жан-жабылта көчүрдүң,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l029	seytek-2012:p0928:b003:l027	Жеринен бузуп талдарын,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l030	seytek-2012:p0928:b003:l028	Жетим таштап кор кылдың,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l031	seytek-2012:p0928:b003:l029	Кызыл чие балдарын.	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l032	seytek-2012:p0928:b003:l030	Жети атаңдын өчү жок,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l033	seytek-2012:p0928:b003:l031	Не пейлинен кыргыздын,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l034	seytek-2012:p0928:b003:l032	Мынча кыйнап жандарын,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l035	seytek-2012:p0928:b003:l033	Ар качандан бир качан,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l036	seytek-2012:p0928:b003:l034	Кутурганың койбодуң,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l037	seytek-2012:p0928:b003:l035	Ичип канга тойбодуң.	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l038	seytek-2012:p0928:b003:l036	Журт олжолоп, эл кырып,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l039	seytek-2012:p0928:b003:l037	Жаңжалыңды койбодуң,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l040	seytek-2012:p0928:b003:l038	Найзаны канга чыктадың,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l041	seytek-2012:p0928:b003:l039	Сүйлөсө сөздү укпадың.	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l042	seytek-2012:p0928:b003:l040	Белес бойлоп кырды аштың,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l043	seytek-2012:p0929:b002:l001	Бейпайлашып чырдаштың.	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l044	seytek-2012:p0929:b002:l002	Айтсам-айтсам болбодуң,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l045	seytek-2012:p0929:b002:l003	Ар качандан бир качан	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l046	seytek-2012:p0929:b002:l004	Жаңжалыңды койбодуң.	provisional-visual-sequence-match
