scan_pdf_page	candidate_physical_line	printed_counterpart_id	printed_reading	review_status
101	38	seytek-2012:p0975:b002:l004	Кабылдап калса …	provisional_visual_sequence_match
101	39	seytek-2012:p0975:b002:l005	Кайра тартпай дуулдап,	provisional_visual_sequence_match
101	40	seytek-2012:p0975:b002:l006	Ошол бойдон өтсүн – деп,	provisional_visual_sequence_match
101	41	seytek-2012:p0975:b002:l007	Улап учун чыгартып,	provisional_visual_sequence_match
101	42	seytek-2012:p0975:b002:l008	Көз жаш менен сугартып,	provisional_visual_sequence_match
101	43	seytek-2012:p0975:b002:l009	Уу төктүрүп бо¸гон.	provisional_visual_sequence_match
101	44	seytek-2012:p0975:b002:l010	Жашыл кара киши өттү,	provisional_visual_sequence_match
101	45	seytek-2012:p0975:b002:l011	Карасаат каранды,	provisional_visual_sequence_match
101	46	seytek-2012:p0975:b002:l012	Бир жылга ага бо¸гон.	provisional_visual_sequence_match
101	47	seytek-2012:p0975:b002:l013	Ажалга жакын жомогон,	provisional_visual_sequence_match
101	48	seytek-2012:p0975:b002:l014	Сундурган жагы бүлүнгөн,	provisional_visual_sequence_match
101	49	seytek-2012:p0975:b002:l015	Ар беттешип келгенде	provisional_visual_sequence_match
101	50	seytek-2012:p0975:b002:l016	Аманат жандан түңүлгөн.	provisional_visual_sequence_match
101	51	seytek-2012:p0975:b002:l017	Мизи өрттөнүп уу болгон,	provisional_visual_sequence_match
101	52	seytek-2012:p0975:b002:l018	Найза жөнү бу болгон,	provisional_visual_sequence_match
101	53	seytek-2012:p0975:b002:l019	Кабылган душман уу болгон.	provisional_visual_sequence_match
101	54	seytek-2012:p0975:b002:l020	Каарланып катылса,	provisional_visual_sequence_match
101	55	seytek-2012:p0975:b002:l021	Жин төгүлүп кан чыккан,	provisional_visual_sequence_match
101	56	seytek-2012:p0975:b002:l022	Темири болот ойногон,	provisional_visual_sequence_match
101	57	seytek-2012:p0975:b002:l023	Карасаат сыр найза,	provisional_visual_sequence_match
101	58	seytek-2012:p0975:b002:l024	Чыктаса канга тойбогон.	provisional_visual_sequence_match
